act-avg,sat-avg,enrollment,acceptance-rate,rankingDisplayScore,percent-receiving-aid,cost-after-aid,tuition,displayName,overallRank,institutionalControl
26,1140,12410,55,50,70,31793,40068,Rochester Institute of Technology,97,private
26,1150,17026,41,50,13,34024,26297,Stony Brook University--SUNY,97,public
23,1070,1755,54,50,,,18090,SUNY College of Environmental Science and Forestry,97,public
24,1070,20411,59,50,28,37040,26270,University at Buffalo--SUNY,97,public
23,1060,22436,71,50,13,35144,24443,University of Oklahoma,97,public
25,1100,11159,69,50,48,36399,41356,University of Vermont,97,public
24,1060,22658,81,49,16,39912,29640,Auburn University,103,public
26,1130,2944,57,49,62,29116,45864,Illinois Institute of Technology,103,private
24,1030,11129,73,49,64,38093,42828,Loyola University Chicago,103,private
22,990,12871,76,49,56,34826,32637,University of New Hampshire,103,public
22,980,20049,78,49,7,42682,34611,University of Oregon,103,public
25,1120,25556,68,49,8,41810,32362,University of South Carolina,103,public
24,1040,22139,77,49,33,39170,31160,University of Tennessee,103,public
22,1040,5899,30,48,50,33124,25697,Howard University,110,private
23,980,32563,53,48,27,26861,28100,University of Alabama,110,public
23,1030,6745,71,48,46,42433,46250,University of San Francisco,110,private
23,1030,3483,66,48,67,37188,46346,University of the Pacific,110,private
21,1050,23789,76,48,11,35873,26408,University of Utah,110,public
22,1020,42477,83,47,31,37446,27372,Arizona State University--Tempe,115,public
22,980,30671,87,47,34,27241,22256,Iowa State University,115,public
24,1050,29275,52,47,37,35109,27266,Temple University,115,public
23,,19262,93,47,30,30962,26592,University of Kansas,115,public
24,1050,6111,83,47,55,34299,41133,University of St. Thomas,115,private
23,1040,3241,80,46,54,35518,44060,The Catholic University of America,120,private
22,1030,15407,70,46,59,42438,39010,DePaul University,120,private
24,1055,6039,74,46,65,29185,36394,Duquesne University,120,private
23,1020,25898,75,46,33,27962,26506,University of Missouri,120,public
24,1080,3268,68,45,79,33669,47950,Clarkson University,124,private
22,1020,25177,78,45,16,39497,29140,Colorado State University,124,public
25,1073,5829,76,45,28,38217,32318,Michigan Technological University,124,public
23,1070,5956,67,45,,,40588,Seton Hall University,124,private
21,970,34072,79,45,29,35051,32449,University of Arizona,124,public
21,940,19799,66,45,15,41753,41931,University of California--Riverside,124,public
24,1030,8330,60,45,46,34204,41750,University of Dayton,124,private
